,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Income,year_sold,house_age_at_sale
20,238,790000.0,4,1.75,2460,10061,1.0,1,1,0,8,1410,1050.0,1961,0.0,98178,47.5105,-122.238,2300,10061,113555.0,2014,53.0
21,54,260000.0,2,1.0,1120,5650,1.0,0,4,0,7,1120,0.0,1944,0.0,98178,47.4979,-122.241,1270,6875,113555.0,2014,70.0
22,340,245000.0,4,1.5,1280,8000,1.0,0,4,0,7,1280,0.0,1960,0.0,98178,47.4949,-122.255,1420,8211,113555.0,2015,55.0
23,339,1700000.0,4,3.75,3190,17186,2.0,1,1,0,0,3190,0.0,1999,0.0,98178,47.5115,-122.246,2290,13496,113555.0,2015,16.0
24,311,612000.0,6,3.0,3840,14040,1.5,0,3,0,9,2460,1380.0,1949,0.0,98178,47.506,-122.241,2170,6765,113555.0,2015,66.0
25,112,285000.0,3,2.0,2110,6900,1.5,0,4,4,7,1220,890.0,1955,0.0,98178,47.504,-122.26,1350,7683,113555.0,2014,59.0
26,147,299000.0,4,2.5,1950,3000,2.0,0,4,0,8,1950,0.0,2002,0.0,98178,47.4977,-122.226,1170,6000,113555.0,2014,12.0
27,288,212000.0,4,2.0,1880,7500,1.0,0,4,4,7,980,900.0,1946,0.0,98178,47.495,-122.266,1670,14350,113555.0,2015,69.0
28,360,240000.0,4,1.5,1920,7973,1.0,0,4,0,9,1920,0.0,1955,0.0,98178,47.4961,-122.235,2020,8840,113555.0,2015,60.0
29,61,255000.0,4,2.0,2430,8960,1.0,0,4,0,8,1430,1000.0,1960,0.0,98178,47.4979,-122.232,2430,8960,113555.0,2014,54.0
30,206,335000.0,4,2.5,2330,7050,2.0,0,4,0,9,2330,0.0,1998,0.0,98178,47.5001,-122.231,1810,5424,113555.0,2014,16.0
31,187,194000.0,3,1.5,1010,5000,1.0,0,4,0,7,1010,0.0,1943,0.0,98178,47.4925,-122.278,980,5000,113555.0,2014,71.0
32,126,251700.0,3,2.25,1810,11800,1.0,0,4,0,8,1240,570.0,1977,0.0,98178,47.4997,-122.231,1810,5641,113555.0,2014,37.0
33,125,150000.0,3,1.0,1450,6776,1.0,0,4,0,8,1450,0.0,1952,0.0,98178,47.5056,-122.244,1680,7200,113555.0,2014,62.0
34,338,280005.0,3,1.5,1130,7200,1.0,0,4,0,8,1130,0.0,1954,0.0,98178,47.5041,-122.253,1130,7200,113555.0,2015,61.0
35,18,243000.0,2,1.0,1770,5522,1.5,0,4,2,8,960,810.0,1943,0.0,98178,47.4974,-122.231,1830,7378,113555.0,2014,71.0
36,104,400000.0,6,2.0,2350,6554,2.0,0,2,0,9,2000,350.0,1905,0.0,98178,47.5115,-122.256,1560,6554,113555.0,2014,109.0
37,202,355000.0,3,2.25,2550,9674,1.0,0,4,0,8,1850,700.0,1959,0.0,98178,47.4856,-122.247,2240,9674,113555.0,2014,55.0
38,147,294000.0,3,1.0,1320,9520,1.0,0,4,0,8,990,330.0,1953,0.0,98178,47.4857,-122.253,1460,10610,113555.0,2014,61.0
39,195,210000.0,3,1.0,1200,7500,1.0,0,4,0,7,1200,0.0,1905,1989.0,98178,47.4921,-122.275,1010,7000,113555.0,2014,109.0
40,264,184500.0,2,1.0,720,5880,1.0,0,4,0,7,720,0.0,1940,0.0,98178,47.5056,-122.27,1440,7200,113555.0,2015,75.0
41,19,199000.0,4,2.0,2030,8120,2.0,0,4,0,8,2030,0.0,1950,0.0,98178,47.4994,-122.261,1520,9440,113555.0,2014,64.0
42,236,415000.0,5,1.75,3700,9140,1.0,0,4,0,9,1850,1850.0,1957,0.0,98178,47.5086,-122.258,2190,6720,113555.0,2014,57.0
43,17,285000.0,4,1.75,2080,13629,1.0,0,4,2,8,1040,1040.0,1955,0.0,98178,47.4866,-122.232,1780,14659,113555.0,2014,59.0
44,69,200000.0,4,2.0,2090,6630,1.0,0,4,0,8,1070,1020.0,1974,0.0,98178,47.5077,-122.268,1550,7980,113555.0,2014,40.0
45,161,700000.0,2,1.0,1160,17635,1.0,1,1,0,7,1160,0.0,1945,0.0,98178,47.5117,-122.248,1510,13122,113555.0,2014,69.0
46,289,178000.0,5,1.5,1990,18200,1.0,0,4,0,8,1990,0.0,1960,0.0,98178,47.4938,-122.262,1860,8658,113555.0,2015,55.0
47,25,160000.0,2,1.0,1180,9350,1.0,0,4,0,7,1180,0.0,1918,0.0,98178,47.4889,-122.259,1780,9306,113555.0,2014,96.0
48,125,100000.0,2,1.0,790,6426,1.0,0,4,0,7,790,0.0,1944,0.0,98178,47.4933,-122.245,1380,6946,113555.0,2014,70.0
49,179,330000.0,3,2.25,1620,7150,1.0,0,0,2,8,1280,340.0,1950,0.0,98178,47.5048,-122.241,1620,6930,113555.0,2014,64.0
50,312,355000.0,4,1.5,2020,6000,1.0,0,4,2,8,1010,1010.0,1953,0.0,98178,47.5019,-122.235,1710,6000,113555.0,2015,62.0
51,172,119900.0,2,1.0,700,3180,1.0,0,4,0,7,480,220.0,1951,0.0,98178,47.4976,-122.262,1760,6360,113555.0,2014,63.0
52,89,200000.0,4,1.0,1070,7467,1.5,0,4,0,8,1070,0.0,1944,0.0,98178,47.4942,-122.235,1160,7467,113555.0,2014,70.0
53,52,345100.0,3,3.75,1950,8625,1.0,0,4,0,9,1360,590.0,1959,0.0,98178,47.505,-122.258,1950,6670,113555.0,2014,55.0
54,171,200000.0,3,1.0,960,7500,1.0,0,4,0,7,960,0.0,1953,0.0,98178,47.4966,-122.255,1250,6000,113555.0,2014,61.0
55,111,210000.0,3,1.75,1400,7300,2.0,0,4,0,7,1400,0.0,1948,0.0,98178,47.4999,-122.268,1440,10825,113555.0,2014,66.0
56,49,359950.0,3,2.25,1940,11612,1.0,0,4,2,9,1100,840.0,1981,0.0,98178,47.5018,-122.23,2180,8954,113555.0,2014,33.0
57,139,360000.0,3,2.0,1960,8846,1.0,0,3,2,7,980,980.0,1940,0.0,98178,47.5101,-122.246,2190,6363,113555.0,2014,74.0
58,339,265000.0,3,1.0,1360,5967,1.0,0,4,0,7,1360,0.0,1954,0.0,98178,47.4973,-122.256,1360,6052,113555.0,2015,61.0
59,7,195000.0,2,1.0,720,18000,1.0,0,4,0,7,720,0.0,1950,0.0,98178,47.5054,-122.261,1250,7925,113555.0,2014,64.0
60,145,353000.0,4,2.75,1920,4627,1.0,0,4,0,9,1010,910.0,1998,0.0,98178,47.5003,-122.23,1910,7210,113555.0,2014,16.0
61,227,499900.0,3,1.75,2430,8820,1.0,0,0,0,9,1630,800.0,1977,0.0,98178,47.4972,-122.233,2390,10050,113555.0,2014,37.0
62,75,169000.0,3,1.0,890,7110,1.0,0,4,0,7,890,0.0,1957,0.0,98178,47.4971,-122.261,1100,8375,113555.0,2014,57.0
63,228,220000.0,3,1.75,1900,7680,1.0,0,4,0,8,1260,640.0,1959,0.0,98178,47.5081,-122.266,2000,7740,113555.0,2014,55.0
64,108,279000.0,4,1.0,1210,6000,1.5,0,0,0,8,1210,0.0,1943,0.0,98178,47.5026,-122.234,1470,6000,113555.0,2014,71.0
65,10,372500.0,5,3.0,2480,10090,1.0,0,4,0,8,1300,1180.0,2004,0.0,98178,47.4964,-122.263,2290,9900,113555.0,2014,10.0
66,117,235000.0,2,1.0,880,5600,1.0,0,4,4,8,880,0.0,1955,0.0,98178,47.5071,-122.265,1240,7015,113555.0,2014,59.0
67,76,1100000.0,4,3.25,3190,11774,2.0,1,1,0,9,2610,580.0,1956,1991.0,98178,47.5033,-122.225,2240,8725,113555.0,2014,58.0
68,213,258000.0,3,1.75,1040,5650,1.0,0,4,4,7,1040,0.0,1951,0.0,98178,47.5111,-122.256,1290,5650,113555.0,2014,63.0
69,270,241000.0,3,1.0,880,6050,1.0,0,4,0,7,880,0.0,1945,0.0,98178,47.4995,-122.248,1130,6050,113555.0,2015,70.0
70,166,261000.0,3,1.0,1780,7800,1.0,0,4,0,8,1060,720.0,1957,0.0,98178,47.4932,-122.263,1450,7800,113555.0,2014,57.0
71,360,390000.0,4,2.25,3060,7920,1.0,0,4,0,8,1530,1530.0,1965,0.0,98178,47.4879,-122.245,1850,7800,113555.0,2015,50.0
72,97,375000.0,3,2.5,2320,5760,1.0,0,4,0,8,1480,840.0,1987,0.0,98178,47.504,-122.248,1660,5762,113555.0,2014,27.0
73,311,352000.0,4,1.5,1440,8680,1.5,0,4,0,8,1440,0.0,1922,0.0,98178,47.502,-122.228,1440,9000,113555.0,2015,93.0
74,160,287000.0,2,1.0,930,6900,1.0,0,0,0,8,930,0.0,1952,0.0,98178,47.506,-122.242,1910,7194,113555.0,2014,62.0
75,186,241000.0,3,1.0,1150,10000,1.0,0,4,0,7,1000,150.0,1951,0.0,98178,47.5075,-122.262,1340,10000,113555.0,2014,63.0
76,40,295000.0,5,3.5,2100,5107,2.0,0,4,0,8,1410,690.0,1999,0.0,98178,47.5108,-122.257,1410,5650,113555.0,2014,15.0
77,272,800000.0,4,2.5,4940,10037,1.0,0,1,0,10,3450,1490.0,1953,0.0,98178,47.5095,-122.247,2430,9272,113555.0,2015,62.0
78,317,375000.0,5,1.75,2230,7560,1.0,0,4,0,8,1230,1000.0,1959,0.0,98178,47.5055,-122.26,1380,6570,113555.0,2015,56.0
79,74,212000.0,3,1.0,1040,6800,1.0,0,4,4,7,1040,0.0,1951,0.0,98178,47.492,-122.224,1430,6080,113555.0,2014,63.0
80,140,350000.0,3,1.75,2010,6150,2.0,0,4,4,8,2010,0.0,1939,0.0,98178,47.4975,-122.231,1770,7380,113555.0,2014,75.0
81,268,336000.0,3,3.0,1790,13350,1.0,0,4,0,8,1190,600.0,1988,0.0,98178,47.4958,-122.262,1740,10624,113555.0,2015,27.0
82,173,303100.0,3,1.5,1640,5650,1.0,0,4,0,9,1640,0.0,1952,0.0,98178,47.50899999999999,-122.251,1640,5650,113555.0,2014,62.0
83,81,356200.0,3,2.0,1690,10062,1.0,0,0,4,8,940,750.0,1928,0.0,98178,47.5102,-122.241,2390,6650,113555.0,2014,86.0
84,78,205000.0,3,1.0,860,7467,1.0,0,4,0,7,860,0.0,1944,0.0,98178,47.4947,-122.237,1280,7467,113555.0,2014,70.0
85,153,353000.0,3,1.75,2190,7021,1.0,0,0,2,8,1390,800.0,1953,0.0,98178,47.5033,-122.232,2180,7155,113555.0,2014,61.0
86,319,552000.0,4,2.75,3160,8429,1.0,0,3,2,8,1620,1540.0,1982,0.0,98178,47.511,-122.251,1760,6780,113555.0,2015,33.0
87,339,343000.0,3,1.75,2210,7920,1.0,0,4,0,8,1400,810.0,1966,0.0,98178,47.4968,-122.237,2220,7920,113555.0,2015,49.0
88,352,288250.0,3,1.75,2110,15400,1.0,0,4,0,8,1380,730.0,1963,0.0,98178,47.4861,-122.226,2110,9800,113555.0,2015,52.0
89,320,216000.0,2,1.0,1810,10360,1.0,0,4,0,7,1010,800.0,1946,0.0,98178,47.5039,-122.266,1810,10360,113555.0,2015,69.0
90,129,340000.0,4,2.25,2060,8400,1.0,0,4,0,8,1300,760.0,1960,0.0,98178,47.4984,-122.23,1990,7383,113555.0,2014,54.0
91,284,258000.0,2,2.0,750,6553,1.5,0,0,0,8,750,0.0,1945,0.0,98178,47.4982,-122.221,1140,7500,113555.0,2015,70.0
92,132,472000.0,3,1.75,2180,7200,1.0,0,3,2,9,1090,1090.0,1954,0.0,98178,47.5044,-122.235,2180,7140,113555.0,2014,60.0
93,201,170000.0,2,1.0,810,9882,1.0,0,4,0,7,810,0.0,1944,0.0,98178,47.4925,-122.239,950,7200,113555.0,2014,70.0
94,187,199950.0,3,1.0,1340,7260,1.5,0,4,0,7,1340,0.0,1944,0.0,98178,47.4934,-122.237,1210,7260,113555.0,2014,70.0
95,180,315000.0,4,2.5,1950,3225,2.0,0,4,0,8,1950,0.0,2002,0.0,98178,47.5014,-122.226,1980,3225,113555.0,2014,12.0
96,42,153000.0,3,1.0,1270,6405,1.5,0,4,0,7,1270,0.0,1944,0.0,98178,47.4959,-122.241,1110,6405,113555.0,2014,70.0
97,322,203000.0,3,1.75,1190,6000,1.0,0,4,0,8,1190,0.0,1952,0.0,98178,47.5026,-122.236,1200,6000,113555.0,2015,63.0
98,351,210000.0,4,1.75,2090,6485,1.0,0,4,0,8,1280,810.0,1956,0.0,98178,47.4958,-122.265,2190,9600,113555.0,2015,59.0
99,358,361000.0,3,2.25,2470,5650,1.0,0,0,0,8,1550,920.0,1973,0.0,98178,47.5072,-122.252,1660,5650,113555.0,2015,42.0
100,54,315000.0,4,2.0,1780,5336,1.5,0,4,4,7,930,0,1918,0.0,98178,47.5094,-122.263,1910,10304,113555.0,2014,96.0
101,201,495000.0,5,1.0,1810,11205,1.5,0,0,0,8,1810,0.0,1915,0.0,98178,47.5099,-122.262,1860,7965,113555.0,2014,99.0
102,54,190000.0,1,0.75,930,29258,1.0,0,4,0,7,930,0.0,1941,0.0,98178,47.4837,-122.236,2000,18321,113555.0,2014,73.0
103,173,239300.0,3,1.0,1070,5750,1.0,0,4,0,8,1070,0.0,1952,0.0,98178,47.5071,-122.255,1420,6500,113555.0,2014,62.0
104,48,248000.0,4,2.0,2080,13510,1.0,0,4,0,8,1040,1040.0,1950,0.0,98178,47.4918,-122.258,2010,11625,113555.0,2014,64.0
105,284,289900.0,3,1.0,1180,7068,1.0,0,4,0,7,1180,0,1944,0.0,98178,47.4947,-122.238,1180,7068,113555.0,2015,71.0
106,176,159075.0,4,1.5,1580,6200,1.0,0,4,0,7,790,790.0,1944,0.0,98178,47.4971,-122.24,1320,6499,113555.0,2014,70.0
107,138,323500.0,3,3.0,2240,11536,2.0,0,4,0,8,2240,0.0,1943,0.0,98178,47.4886,-122.245,1650,8760,113555.0,2014,71.0
108,213,350000.0,4,1.75,1820,6930,1.0,0,0,2,8,1320,500.0,1952,0.0,98178,47.5053,-122.242,1820,6825,113555.0,2014,62.0
109,83,225000.0,3,1.5,1220,8345,1.5,0,4,0,8,1220,0.0,1931,0.0,98178,47.5038,-122.266,1880,10169,113555.0,2014,83.0
110,54,265950.0,3,1.5,1150,8450,1.0,0,4,2,7,1150,0.0,1951,0.0,98178,47.4927,-122.224,1160,6800,113555.0,2014,63.0
111,154,304000.0,3,1.75,1720,6000,1.0,0,0,0,8,1000,720.0,1954,0.0,98178,47.4999,-122.223,1690,6000,113555.0,2014,60.0
112,87,323000.0,3,1.75,1830,12500,1.0,0,2,0,8,1200,630.0,1947,0.0,98178,47.5087,-122.25,1830,7300,113555.0,2014,67.0
113,175,230000.0,3,1.75,1420,3000,1.0,0,4,0,6,710,710.0,1931,2014.0,98178,47.4928,-122.274,1960,5000,113555.0,2014,83.0
114,98,272000.0,3,2.0,1200,5700,1.0,0,4,4,8,1200,0.0,1942,0.0,98178,47.5031,-122.242,1190,6384,113555.0,2014,72.0
115,187,349170.0,4,1.75,1670,8856,1.0,0,0,0,8,1070,600.0,1955,0.0,98178,47.5056,-122.251,1660,8088,113555.0,2014,59.0
116,131,264250.0,3,1.0,1420,7420,1.5,0,4,0,7,1420,0.0,1944,0.0,98178,47.4949,-122.239,1290,6600,113555.0,2014,70.0
117,196,339950.0,5,2.0,1890,6050,2.0,0,4,2,8,1890,0.0,1944,0.0,98178,47.5018,-122.242,1170,6050,113555.0,2014,70.0
118,206,315000.0,4,1.75,1850,8580,1.0,0,4,0,8,1140,710.0,1960,0.0,98178,47.4877,-122.24,2210,9240,113555.0,2014,54.0
119,55,270000.0,4,2.25,2600,9900,1.0,0,4,0,8,1600,1000.0,1965,0.0,98178,47.4881,-122.237,1770,11250,113555.0,2014,49.0
120,298,256000.0,4,1.75,1270,6825,1.0,0,0,0,8,1270,0.0,1950,0.0,98178,47.5051,-122.242,1800,6930,113555.0,2015,65.0
121,289,284200.0,3,1.75,1540,6632,1.0,0,4,0,8,1070,470.0,1959,0.0,98178,47.4973,-122.252,2510,6618,113555.0,2015,56.0
122,53,230000.0,4,1.75,1850,6000,1.0,0,4,2,7,1270,580.0,1944,0.0,98178,47.4923,-122.247,1270,6600,113555.0,2014,70.0
123,25,292050.0,5,3.0,2840,7199,1.0,0,4,0,8,1710,1130.0,2003,0.0,98178,47.5065,-122.275,2210,10800,113555.0,2014,11.0
124,6,228000.0,4,1.75,2000,6120,1.0,0,4,0,8,1100,900.0,1965,0.0,98178,47.5035,-122.258,1880,6120,113555.0,2014,49.0
125,310,339000.0,4,2.5,1740,6000,1.0,0,4,2,8,1740,0.0,1952,0.0,98178,47.5026,-122.236,1190,6000,113555.0,2015,63.0
126,115,235000.0,3,1.0,1210,6000,1.0,0,4,0,8,1210,0.0,1930,0.0,98178,47.4984,-122.224,1210,6000,113555.0,2014,84.0
127,353,466000.0,4,2.0,2240,4508,1.0,0,0,2,9,1340,900.0,1926,0.0,98178,47.5096,-122.25,1930,5250,113555.0,2015,89.0
128,175,257000.0,3,1.75,1800,9000,1.0,0,4,0,8,1200,600.0,1961,0.0,98178,47.4932,-122.278,980,6000,113555.0,2014,53.0
129,241,166000.0,2,1.0,870,8487,1.0,0,4,2,7,870,0.0,1944,0.0,98178,47.4955,-122.239,1350,6850,113555.0,2015,71.0
130,181,340500.0,3,2.5,3070,5871,3.0,0,4,2,9,2510,560.0,1928,0.0,98178,47.5007,-122.223,2220,4000,113555.0,2014,86.0
131,201,269000.0,2,1.5,1010,6000,1.0,0,4,2,8,1010,0.0,1923,0.0,98178,47.49800000000001,-122.222,1290,6000,113555.0,2014,91.0
132,20,301350.0,3,3.0,1860,7440,1.0,0,4,4,8,1040,820.0,1954,0.0,98178,47.5035,-122.255,1490,8160,113555.0,2014,60.0
133,318,290500.0,4,2.5,1680,3000,2.0,0,4,0,8,1680,0.0,2003,0.0,98178,47.494,-122.279,1420,5500,113555.0,2015,12.0
134,52,415000.0,4,2.5,2170,8518,1.0,0,3,0,8,1350,820.0,1955,0.0,98178,47.5073,-122.234,1880,7680,113555.0,2014,59.0
135,152,251000.0,4,2.0,1650,5974,1.0,0,4,4,8,860,790.0,1972,0.0,98178,47.5008,-122.257,1940,6001,113555.0,2014,42.0
136,320,450000.0,2,2.75,2810,11205,1.0,0,4,0,8,1510,1300.0,1968,0.0,98178,47.4869,-122.243,2520,13000,113555.0,2015,47.0
137,275,318000.0,3,2.25,1690,12662,1.0,0,4,4,8,1090,600.0,1982,0.0,98178,47.4972,-122.264,1950,9642,113555.0,2015,33.0
138,195,238950.0,2,1.0,1190,11400,1.0,0,4,0,8,1190,0.0,1951,0.0,98178,47.5012,-122.265,1410,11400,113555.0,2014,63.0
139,325,137900.0,3,1.75,1160,5082,1.0,0,4,0,7,580,580.0,1942,0.0,98178,47.503,-122.262,1730,6000,113555.0,2015,73.0
140,195,315000.0,2,1.0,2080,14659,1.0,0,4,0,8,1040,1040.0,1960,0.0,98178,47.4858,-122.231,1920,15208,113555.0,2014,54.0
141,186,354000.0,6,3.5,3020,4500,2.0,0,4,0,8,3020,0.0,1941,1992.0,98178,47.49800000000001,-122.225,900,6000,113555.0,2014,73.0
142,104,324950.0,4,1.75,2320,9240,1.0,0,4,0,8,1160,1160.0,1959,2014.0,98178,47.4909,-122.257,2130,7320,113555.0,2014,55.0
143,262,750000.0,5,1.75,2640,13290,1.0,1,1,2,9,1400,1240.0,1954,0.0,98178,47.5022,-122.223,2400,11942,113555.0,2015,61.0
144,40,230000.0,5,2.0,1910,7200,1.0,0,4,2,7,1110,800.0,1951,0.0,98178,47.4975,-122.261,1150,5948,113555.0,2014,63.0
145,83,219950.0,2,1.0,990,6448,1.0,0,4,0,8,990,0.0,1948,0.0,98178,47.5031,-122.245,1130,7200,113555.0,2014,66.0
146,53,343500.0,4,1.75,1760,6204,1.0,0,0,2,8,1180,580.0,1950,0.0,98178,47.5045,-122.24,1990,6240,113555.0,2014,64.0
147,220,275000.0,4,1.75,1690,6000,1.0,0,4,0,8,1690,0.0,1957,0.0,98178,47.497,-122.227,1350,6000,113555.0,2014,57.0
148,256,272000.0,1,0.75,1040,6034,1.0,0,2,0,8,580,460.0,1991,0.0,98178,47.5078,-122.251,1560,5650,113555.0,2015,24.0
149,329,419000.0,5,3.0,2190,9652,2.0,0,4,0,8,2190,0.0,1999,0.0,98178,47.5049,-122.239,1440,6710,113555.0,2015,16.0
150,290,286300.0,3,2.75,2000,6405,1.0,0,4,0,9,1260,740.0,1964,0.0,98178,47.5066,-122.259,2130,6510,113555.0,2015,51.0
151,53,317000.0,5,2.5,2360,11375,1.0,0,4,2,8,1180,1180.0,1962,0.0,98178,47.4875,-122.255,1160,7800,113555.0,2014,52.0
152,318,287500.0,5,2.0,2020,67953,1.5,0,4,2,8,1620,400.0,1936,0.0,98178,47.4891,-122.263,1270,13198,113555.0,2015,79.0
153,248,222900.0,2,1.0,1110,6411,1.0,0,4,0,7,1110,0.0,1944,0.0,98178,47.4962,-122.242,1150,6504,113555.0,2015,71.0
154,366,625000.0,5,3.5,4010,6000,2.0,0,3,0,10,2560,1450.0,1997,0.0,98178,47.4928,-122.229,2440,6000,113555.0,2015,18.0
155,42,215000.0,2,1.0,710,7200,1.0,0,4,0,7,710,0,1943,0.0,98178,47.4903,-122.245,960,7200,113555.0,2014,71.0
156,152,280000.0,4,1.0,1880,6288,1.0,0,4,0,8,1120,760.0,1974,0.0,98178,47.5101,-122.259,1880,6334,113555.0,2014,40.0
157,268,218000.0,2,1.5,2010,7755,2.0,0,4,0,8,2010,0.0,1952,0.0,98178,47.4947,-122.233,1360,8037,113555.0,2015,63.0
158,213,281000.0,2,1.0,1280,12500,1.0,0,4,0,8,1060,220.0,1951,0.0,98178,47.4833,-122.237,1460,17771,113555.0,2014,63.0
159,167,363500.0,4,1.75,2180,9702,1.0,0,4,4,8,1090,1090.0,1962,0.0,98178,47.4973,-122.268,2020,9792,113555.0,2014,52.0
160,311,170000.0,3,1.0,790,6750,1.0,0,4,1,7,790,0.0,1944,0.0,98178,47.4984,-122.24,960,6298,113555.0,2015,71.0
161,103,207000.0,3,1.0,860,7740,1.0,0,4,0,7,860,0.0,1960,0.0,98178,47.4906,-122.244,980,7200,113555.0,2014,54.0
162,20,319950.0,2,1.0,1070,5824,1.0,0,0,4,8,1070,0.0,1949,0.0,98178,47.507,-122.242,2090,7980,113555.0,2014,65.0
163,14,245000.0,4,1.0,1530,7200,1.5,0,4,0,8,1400,130.0,1948,0.0,98178,47.5015,-122.262,1530,7200,113555.0,2014,66.0
164,226,255000.0,3,1.5,1320,7980,1.0,0,4,0,8,1320,0.0,1956,0.0,98178,47.5068,-122.259,2000,7700,113555.0,2014,58.0
165,222,372000.0,4,2.5,2070,8658,2.0,0,4,0,9,2070,0.0,1999,0.0,98178,47.5072,-122.257,2010,7215,113555.0,2014,15.0
166,110,300000.0,4,2.0,2360,7440,1.0,0,4,0,8,1180,1180.0,1955,0.0,98178,47.5044,-122.245,1680,7800,113555.0,2014,59.0
167,182,150000.0,4,2.0,1460,7254,1.0,0,4,0,7,1460,0.0,1959,0.0,98178,47.5056,-122.254,1460,7236,113555.0,2014,55.0
168,111,190000.0,2,1.0,930,11450,1.0,0,4,0,7,930,0.0,1946,0.0,98178,47.4862,-122.264,1150,11450,113555.0,2014,68.0
169,299,265000.0,4,1.75,1970,8390,1.0,0,4,0,8,1140,830.0,1955,0.0,98178,47.4861,-122.251,1710,10890,113555.0,2015,60.0
170,228,415000.0,4,1.75,2230,9625,1.0,0,1,0,9,1180,1050.0,1955,0.0,98178,47.508,-122.244,2300,8211,113555.0,2014,59.0
171,59,265000.0,2,2.0,1860,10856,1.0,0,4,0,9,1260,600.0,1952,0.0,98178,47.4989,-122.265,1250,10008,113555.0,2014,62.0
172,126,200000.0,2,1.0,790,5985,1.0,0,4,0,7,790,0.0,1944,0.0,98178,47.4941,-122.24,1030,5985,113555.0,2014,70.0
173,130,229950.0,2,1.0,920,7716,1.0,0,4,0,7,920,0.0,1944,0.0,98178,47.5028,-122.243,1410,7128,113555.0,2014,70.0
174,334,229950.0,2,1.0,850,6000,1.0,0,4,0,7,850,0.0,1924,0.0,98178,47.4972,-122.224,1100,6000,113555.0,2015,91.0
175,352,452100.0,4,2.5,3160,6540,1.0,0,3,0,9,1580,1580.0,1959,0.0,98178,47.5037,-122.24,1990,7090,113555.0,2015,56.0
176,90,223000.0,3,2.0,1310,8440,1.0,0,4,4,7,1310,0.0,1951,0.0,98178,47.5003,-122.269,1790,10775,113555.0,2014,63.0
