,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Income,house_age,year_sold,season,renovated,view_cat
52,200000.0,4,1.0,1070,7467,1.5,0,0,8,1070,0.0,1944,0.0,66,47.4942,-122.235,1160,7467,113555.0,78,2014,2,0,0
53,345100.0,3,3.75,1950,8625,1.0,0,0,9,1360,590.0,1959,0.0,66,47.505,-122.258,1950,6670,113555.0,63,2014,1,0,0
54,200000.0,3,1.0,960,7500,1.0,0,0,7,960,0.0,1953,0.0,66,47.4966,-122.255,1250,6000,113555.0,69,2014,3,0,0
55,210000.0,3,1.75,1400,7300,2.0,0,0,7,1400,0.0,1948,0.0,66,47.4999,-122.26799999999999,1440,10825,113555.0,74,2014,2,0,0
56,359950.0,3,2.25,1940,11612,1.0,0,2,9,1100,840.0,1981,0.0,66,47.5018,-122.23,2180,8954,113555.0,41,2014,1,0,0
57,360000.0,3,2.0,1960,8846,1.0,0,2,7,980,980.0,1940,0.0,66,47.5101,-122.24600000000001,2190,6363,113555.0,82,2014,2,0,1
58,265000.0,3,1.0,1360,5967,1.0,0,0,7,1360,0.0,1954,0.0,66,47.4973,-122.256,1360,6052,113555.0,68,2015,1,0,0
59,195000.0,2,1.0,720,18000,1.0,0,0,7,720,0.0,1950,0.0,66,47.5054,-122.26100000000001,1250,7925,113555.0,72,2014,1,0,0
60,353000.0,4,2.75,1920,4627,1.0,0,0,9,1010,910.0,1998,0.0,66,47.5003,-122.23,1910,7210,113555.0,24,2014,2,0,0
61,499900.0,3,1.75,2430,8820,1.0,0,0,9,1630,800.0,1977,0.0,66,47.4972,-122.23299999999999,2390,10050,113555.0,45,2014,3,0,1
62,169000.0,3,1.0,890,7110,1.0,0,0,7,890,0.0,1957,0.0,66,47.4971,-122.26100000000001,1100,8375,113555.0,65,2014,2,0,0
63,220000.0,3,1.75,1900,7680,1.0,0,0,8,1260,640.0,1959,0.0,66,47.5081,-122.266,2000,7740,113555.0,63,2014,3,0,0
64,279000.0,4,1.0,1210,6000,1.5,0,0,8,1210,0.0,1943,0.0,66,47.5026,-122.234,1470,6000,113555.0,79,2014,2,0,1
65,372500.0,5,3.0,2480,10090,1.0,0,0,8,1300,1180.0,2004,0.0,66,47.4964,-122.26299999999999,2290,9900,113555.0,18,2014,1,0,0
66,235000.0,2,1.0,880,5600,1.0,0,4,8,880,0.0,1955,0.0,66,47.5071,-122.265,1240,7015,113555.0,67,2014,2,0,0
67,1100000.0,4,3.25,3190,11774,2.0,1,0,9,2610,580.0,1956,1991.0,66,47.5033,-122.225,2240,8725,113555.0,66,2014,2,1,1
68,258000.0,3,1.75,1040,5650,1.0,0,4,7,1040,0.0,1951,0.0,66,47.5111,-122.256,1290,5650,113555.0,71,2014,3,0,0
69,241000.0,3,1.0,880,6050,1.0,0,0,7,880,0.0,1945,0.0,66,47.4995,-122.24799999999999,1130,6050,113555.0,77,2015,0,0,0
70,261000.0,3,1.0,1780,7800,1.0,0,0,8,1060,720.0,1957,0.0,66,47.4932,-122.26299999999999,1450,7800,113555.0,65,2014,3,0,0
71,390000.0,4,2.25,3060,7920,1.0,0,0,8,1530,1530.0,1965,0.0,66,47.4879,-122.245,1850,7800,113555.0,57,2015,1,0,0
72,375000.0,3,2.5,2320,5760,1.0,0,0,8,1480,840.0,1987,0.0,66,47.504,-122.24799999999999,1660,5762,113555.0,35,2014,2,0,0
73,352000.0,4,1.5,1440,8680,1.5,0,0,8,1440,0.0,1922,0.0,66,47.501999999999995,-122.228,1440,9000,113555.0,100,2015,0,0,0
74,287000.0,2,1.0,930,6900,1.0,0,0,8,930,0.0,1952,0.0,66,47.506,-122.242,1910,7194,113555.0,70,2014,3,0,1
75,241000.0,3,1.0,1150,10000,1.0,0,0,7,1000,150.0,1951,0.0,66,47.5075,-122.262,1340,10000,113555.0,71,2014,3,0,0
76,295000.0,5,3.5,2100,5107,2.0,0,0,8,1410,690.0,1999,0.0,66,47.5108,-122.257,1410,5650,113555.0,23,2014,1,0,0
78,375000.0,5,1.75,2230,7560,1.0,0,0,8,1230,1000.0,1959,0.0,66,47.5055,-122.26,1380,6570,113555.0,63,2015,0,0,0
79,212000.0,3,1.0,1040,6800,1.0,0,4,7,1040,0.0,1951,0.0,66,47.492,-122.22399999999999,1430,6080,113555.0,71,2014,2,0,0
80,350000.0,3,1.75,2010,6150,2.0,0,4,8,2010,0.0,1939,0.0,66,47.4975,-122.23100000000001,1770,7380,113555.0,83,2014,2,0,0
81,336000.0,3,3.0,1790,13350,1.0,0,0,8,1190,600.0,1988,0.0,66,47.4958,-122.262,1740,10624,113555.0,34,2015,0,0,0
82,303100.0,3,1.5,1640,5650,1.0,0,0,9,1640,0.0,1952,0.0,66,47.50899999999999,-122.251,1640,5650,113555.0,70,2014,3,0,0
83,356200.0,3,2.0,1690,10062,1.0,0,4,8,940,750.0,1928,0.0,66,47.5102,-122.241,2390,6650,113555.0,94,2014,2,0,1
84,205000.0,3,1.0,860,7467,1.0,0,0,7,860,0.0,1944,0.0,66,47.4947,-122.23700000000001,1280,7467,113555.0,78,2014,2,0,0
85,353000.0,3,1.75,2190,7021,1.0,0,2,8,1390,800.0,1953,0.0,66,47.5033,-122.23200000000001,2180,7155,113555.0,69,2014,3,0,1
86,552000.0,4,2.75,3160,8429,1.0,0,2,8,1620,1540.0,1982,0.0,66,47.511,-122.251,1760,6780,113555.0,40,2015,0,0,1
87,343000.0,3,1.75,2210,7920,1.0,0,0,8,1400,810.0,1966,0.0,66,47.4968,-122.23700000000001,2220,7920,113555.0,56,2015,1,0,0
88,288250.0,3,1.75,2110,15400,1.0,0,0,8,1380,730.0,1963,0.0,66,47.4861,-122.226,2110,9800,113555.0,59,2015,1,0,0
89,216000.0,2,1.0,1810,10360,1.0,0,0,7,1010,800.0,1946,0.0,66,47.5039,-122.266,1810,10360,113555.0,76,2015,0,0,0
90,340000.0,4,2.25,2060,8400,1.0,0,0,8,1300,760.0,1960,0.0,66,47.4984,-122.23,1990,7383,113555.0,62,2014,2,0,0
91,258000.0,2,2.0,750,6553,1.5,0,0,8,750,0.0,1945,0.0,66,47.4982,-122.221,1140,7500,113555.0,77,2015,0,0,1
92,472000.0,3,1.75,2180,7200,1.0,0,2,9,1090,1090.0,1954,0.0,66,47.5044,-122.235,2180,7140,113555.0,68,2014,2,0,1
93,170000.0,2,1.0,810,9882,1.0,0,0,7,810,0.0,1944,0.0,66,47.4925,-122.23899999999999,950,7200,113555.0,78,2014,3,0,0
94,199950.0,3,1.0,1340,7260,1.5,0,0,7,1340,0.0,1944,0.0,66,47.4934,-122.23700000000001,1210,7260,113555.0,78,2014,3,0,0
95,315000.0,4,2.5,1950,3225,2.0,0,0,8,1950,0.0,2002,0.0,66,47.5014,-122.226,1980,3225,113555.0,20,2014,3,0,0
96,153000.0,3,1.0,1270,6405,1.5,0,0,7,1270,0.0,1944,0.0,66,47.4959,-122.241,1110,6405,113555.0,78,2014,1,0,0
97,203000.0,3,1.75,1190,6000,1.0,0,0,8,1190,0.0,1952,0.0,66,47.5026,-122.236,1200,6000,113555.0,70,2015,0,0,0
98,210000.0,4,1.75,2090,6485,1.0,0,0,8,1280,810.0,1956,0.0,66,47.4958,-122.265,2190,9600,113555.0,66,2015,1,0,0
99,361000.0,3,2.25,2470,5650,1.0,0,0,8,1550,920.0,1973,0.0,66,47.5072,-122.25200000000001,1660,5650,113555.0,49,2015,1,0,1
100,315000.0,4,2.0,1780,5336,1.5,0,4,7,930,0.0,1918,0.0,66,47.5094,-122.26299999999999,1910,10304,113555.0,104,2014,1,0,0
101,495000.0,5,1.0,1810,11205,1.5,0,0,8,1810,0.0,1915,0.0,66,47.5099,-122.262,1860,7965,113555.0,107,2014,3,0,1
102,190000.0,1,0.75,930,29258,1.0,0,0,7,930,0.0,1941,0.0,66,47.4837,-122.236,2000,18321,113555.0,81,2014,1,0,0
103,239300.0,3,1.0,1070,5750,1.0,0,0,8,1070,0.0,1952,0.0,66,47.5071,-122.255,1420,6500,113555.0,70,2014,3,0,0
104,248000.0,4,2.0,2080,13510,1.0,0,0,8,1040,1040.0,1950,0.0,66,47.4918,-122.258,2010,11625,113555.0,72,2014,1,0,0
105,289900.0,3,1.0,1180,7068,1.0,0,0,7,1180,0.0,1944,0.0,66,47.4947,-122.238,1180,7068,113555.0,78,2015,0,0,0
106,159075.0,4,1.5,1580,6200,1.0,0,0,7,790,790.0,1944,0.0,66,47.4971,-122.24,1320,6499,113555.0,78,2014,3,0,0
107,323500.0,3,3.0,2240,11536,2.0,0,0,8,2240,0.0,1943,0.0,66,47.4886,-122.245,1650,8760,113555.0,79,2014,2,0,0
108,350000.0,4,1.75,1820,6930,1.0,0,2,8,1320,500.0,1952,0.0,66,47.5053,-122.242,1820,6825,113555.0,70,2014,3,0,1
109,225000.0,3,1.5,1220,8345,1.5,0,0,8,1220,0.0,1931,0.0,66,47.5038,-122.266,1880,10169,113555.0,91,2014,2,0,0
110,265950.0,3,1.5,1150,8450,1.0,0,2,7,1150,0.0,1951,0.0,66,47.4927,-122.22399999999999,1160,6800,113555.0,71,2014,1,0,0
111,304000.0,3,1.75,1720,6000,1.0,0,0,8,1000,720.0,1954,0.0,66,47.4999,-122.223,1690,6000,113555.0,68,2014,3,0,1
112,323000.0,3,1.75,1830,12500,1.0,0,0,8,1200,630.0,1947,0.0,66,47.5087,-122.25,1830,7300,113555.0,75,2014,2,0,1
113,230000.0,3,1.75,1420,3000,1.0,0,0,6,710,710.0,1931,2014.0,66,47.4928,-122.274,1960,5000,113555.0,91,2014,3,1,0
114,272000.0,3,2.0,1200,5700,1.0,0,4,8,1200,0.0,1942,0.0,66,47.5031,-122.242,1190,6384,113555.0,80,2014,2,0,0
115,349170.0,4,1.75,1670,8856,1.0,0,0,8,1070,600.0,1955,0.0,66,47.5056,-122.251,1660,8088,113555.0,67,2014,3,0,1
116,264250.0,3,1.0,1420,7420,1.5,0,0,7,1420,0.0,1944,0.0,66,47.4949,-122.23899999999999,1290,6600,113555.0,78,2014,2,0,0
117,339950.0,5,2.0,1890,6050,2.0,0,2,8,1890,0.0,1944,0.0,66,47.5018,-122.242,1170,6050,113555.0,78,2014,3,0,0
118,315000.0,4,1.75,1850,8580,1.0,0,0,8,1140,710.0,1960,0.0,66,47.4877,-122.24,2210,9240,113555.0,62,2014,3,0,0
119,270000.0,4,2.25,2600,9900,1.0,0,0,8,1600,1000.0,1965,0.0,66,47.4881,-122.23700000000001,1770,11250,113555.0,57,2014,1,0,0
120,256000.0,4,1.75,1270,6825,1.0,0,0,8,1270,0.0,1950,0.0,66,47.5051,-122.242,1800,6930,113555.0,72,2015,0,0,1
121,284200.0,3,1.75,1540,6632,1.0,0,0,8,1070,470.0,1959,0.0,66,47.4973,-122.25200000000001,2510,6618,113555.0,63,2015,0,0,0
122,230000.0,4,1.75,1850,6000,1.0,0,2,7,1270,580.0,1944,0.0,66,47.4923,-122.24700000000001,1270,6600,113555.0,78,2014,1,0,0
123,292050.0,5,3.0,2840,7199,1.0,0,0,8,1710,1130.0,2003,0.0,66,47.5065,-122.275,2210,10800,113555.0,19,2014,1,0,0
124,228000.0,4,1.75,2000,6120,1.0,0,0,8,1100,900.0,1965,0.0,66,47.5035,-122.258,1880,6120,113555.0,57,2014,1,0,0
125,339000.0,4,2.5,1740,6000,1.0,0,2,8,1740,0.0,1952,0.0,66,47.5026,-122.236,1190,6000,113555.0,70,2015,0,0,0
126,235000.0,3,1.0,1210,6000,1.0,0,0,8,1210,0.0,1930,0.0,66,47.4984,-122.22399999999999,1210,6000,113555.0,92,2014,2,0,0
127,466000.0,4,2.0,2240,4508,1.0,0,2,9,1340,900.0,1926,0.0,66,47.5096,-122.25,1930,5250,113555.0,96,2015,1,0,1
128,257000.0,3,1.75,1800,9000,1.0,0,0,8,1200,600.0,1961,0.0,66,47.4932,-122.27799999999999,980,6000,113555.0,61,2014,3,0,0
129,166000.0,2,1.0,870,8487,1.0,0,2,7,870,0.0,1944,0.0,66,47.4955,-122.23899999999999,1350,6850,113555.0,78,2015,0,0,0
130,340500.0,3,2.5,3070,5871,3.0,0,2,9,2510,560.0,1928,0.0,66,47.5007,-122.223,2220,4000,113555.0,94,2014,3,0,0
131,269000.0,2,1.5,1010,6000,1.0,0,2,8,1010,0.0,1923,0.0,66,47.49800000000001,-122.22200000000001,1290,6000,113555.0,99,2014,3,0,0
132,301350.0,3,3.0,1860,7440,1.0,0,4,8,1040,820.0,1954,0.0,66,47.5035,-122.255,1490,8160,113555.0,68,2014,1,0,0
133,290500.0,4,2.5,1680,3000,2.0,0,0,8,1680,0.0,2003,0.0,66,47.494,-122.279,1420,5500,113555.0,19,2015,0,0,0
134,415000.0,4,2.5,2170,8518,1.0,0,0,8,1350,820.0,1955,0.0,66,47.5073,-122.234,1880,7680,113555.0,67,2014,1,0,1
135,251000.0,4,2.0,1650,5974,1.0,0,4,8,860,790.0,1972,0.0,66,47.5008,-122.257,1940,6001,113555.0,50,2014,3,0,0
136,450000.0,2,2.75,2810,11205,1.0,0,0,8,1510,1300.0,1968,0.0,66,47.4869,-122.243,2520,13000,113555.0,54,2015,0,0,0
137,318000.0,3,2.25,1690,12662,1.0,0,4,8,1090,600.0,1982,0.0,66,47.4972,-122.264,1950,9642,113555.0,40,2015,0,0,0
138,238950.0,2,1.0,1190,11400,1.0,0,0,8,1190,0.0,1951,0.0,66,47.5012,-122.265,1410,11400,113555.0,71,2014,3,0,0
139,137900.0,3,1.75,1160,5082,1.0,0,0,7,580,580.0,1942,0.0,66,47.503,-122.262,1730,6000,113555.0,80,2015,1,0,0
140,315000.0,2,1.0,2080,14659,1.0,0,0,8,1040,1040.0,1960,0.0,66,47.4858,-122.23100000000001,1920,15208,113555.0,62,2014,3,0,0
141,354000.0,6,3.5,3020,4500,2.0,0,0,8,3020,0.0,1941,1992.0,66,47.49800000000001,-122.225,900,6000,113555.0,81,2014,3,1,0
142,324950.0,4,1.75,2320,9240,1.0,0,0,8,1160,1160.0,1959,2014.0,66,47.4909,-122.257,2130,7320,113555.0,63,2014,2,1,0
143,750000.0,5,1.75,2640,13290,1.0,1,2,9,1400,1240.0,1954,0.0,66,47.5022,-122.223,2400,11942,113555.0,68,2015,0,0,1
144,230000.0,5,2.0,1910,7200,1.0,0,2,7,1110,800.0,1951,0.0,66,47.4975,-122.26100000000001,1150,5948,113555.0,71,2014,1,0,0
145,219950.0,2,1.0,990,6448,1.0,0,0,8,990,0.0,1948,0.0,66,47.5031,-122.245,1130,7200,113555.0,74,2014,2,0,0
146,343500.0,4,1.75,1760,6204,1.0,0,2,8,1180,580.0,1950,0.0,66,47.5045,-122.24,1990,6240,113555.0,72,2014,1,0,1
147,275000.0,4,1.75,1690,6000,1.0,0,0,8,1690,0.0,1957,0.0,66,47.497,-122.227,1350,6000,113555.0,65,2014,3,0,0
148,272000.0,1,0.75,1040,6034,1.0,0,0,8,580,460.0,1991,0.0,66,47.5078,-122.251,1560,5650,113555.0,31,2015,0,0,1
149,419000.0,5,3.0,2190,9652,2.0,0,0,8,2190,0.0,1999,0.0,66,47.5049,-122.23899999999999,1440,6710,113555.0,23,2015,1,0,0
150,286300.0,3,2.75,2000,6405,1.0,0,0,9,1260,740.0,1964,0.0,66,47.5066,-122.259,2130,6510,113555.0,58,2015,0,0,0
151,317000.0,5,2.5,2360,11375,1.0,0,2,8,1180,1180.0,1962,0.0,66,47.4875,-122.255,1160,7800,113555.0,60,2014,1,0,0
152,287500.0,5,2.0,2020,67953,1.5,0,2,8,1620,400.0,1936,0.0,66,47.4891,-122.26299999999999,1270,13198,113555.0,86,2015,0,0,0
153,222900.0,2,1.0,1110,6411,1.0,0,0,7,1110,0.0,1944,0.0,66,47.4962,-122.242,1150,6504,113555.0,78,2015,0,0,0
154,625000.0,5,3.5,4010,6000,2.0,0,0,10,2560,1450.0,1997,0.0,66,47.4928,-122.229,2440,6000,113555.0,25,2015,1,0,1
155,215000.0,2,1.0,710,7200,1.0,0,0,7,710,0.0,1943,0.0,66,47.4903,-122.245,960,7200,113555.0,79,2014,1,0,0
156,280000.0,4,1.0,1880,6288,1.0,0,0,8,1120,760.0,1974,0.0,66,47.5101,-122.259,1880,6334,113555.0,48,2014,3,0,0
157,218000.0,2,1.5,2010,7755,2.0,0,0,8,2010,0.0,1952,0.0,66,47.4947,-122.23299999999999,1360,8037,113555.0,70,2015,0,0,0
158,281000.0,2,1.0,1280,12500,1.0,0,0,8,1060,220.0,1951,0.0,66,47.4833,-122.23700000000001,1460,17771,113555.0,71,2014,3,0,0
159,363500.0,4,1.75,2180,9702,1.0,0,4,8,1090,1090.0,1962,0.0,66,47.4973,-122.26799999999999,2020,9792,113555.0,60,2014,3,0,0
160,170000.0,3,1.0,790,6750,1.0,0,1,7,790,0.0,1944,0.0,66,47.4984,-122.24,960,6298,113555.0,78,2015,0,0,0
161,207000.0,3,1.0,860,7740,1.0,0,0,7,860,0.0,1960,0.0,66,47.4906,-122.244,980,7200,113555.0,62,2014,2,0,0
162,319950.0,2,1.0,1070,5824,1.0,0,4,8,1070,0.0,1949,0.0,66,47.507,-122.242,2090,7980,113555.0,73,2014,1,0,1
163,245000.0,4,1.0,1530,7200,1.5,0,0,8,1400,130.0,1948,0.0,66,47.5015,-122.262,1530,7200,113555.0,74,2014,1,0,0
164,255000.0,3,1.5,1320,7980,1.0,0,0,8,1320,0.0,1956,0.0,66,47.5068,-122.259,2000,7700,113555.0,66,2014,3,0,0
165,372000.0,4,2.5,2070,8658,2.0,0,0,9,2070,0.0,1999,0.0,66,47.5072,-122.257,2010,7215,113555.0,23,2014,3,0,0
166,300000.0,4,2.0,2360,7440,1.0,0,0,8,1180,1180.0,1955,0.0,66,47.5044,-122.245,1680,7800,113555.0,67,2014,2,0,0
167,150000.0,4,2.0,1460,7254,1.0,0,0,7,1460,0.0,1959,0.0,66,47.5056,-122.25399999999999,1460,7236,113555.0,63,2014,3,0,0
168,190000.0,2,1.0,930,11450,1.0,0,0,7,930,0.0,1946,0.0,66,47.4862,-122.264,1150,11450,113555.0,76,2014,2,0,0
169,265000.0,4,1.75,1970,8390,1.0,0,0,8,1140,830.0,1955,0.0,66,47.4861,-122.251,1710,10890,113555.0,67,2015,0,0,0
170,415000.0,4,1.75,2230,9625,1.0,0,0,9,1180,1050.0,1955,0.0,66,47.508,-122.244,2300,8211,113555.0,67,2014,3,0,1
171,265000.0,2,2.0,1860,10856,1.0,0,0,9,1260,600.0,1952,0.0,66,47.4989,-122.265,1250,10008,113555.0,70,2014,1,0,0
172,200000.0,2,1.0,790,5985,1.0,0,0,7,790,0.0,1944,0.0,66,47.4941,-122.24,1030,5985,113555.0,78,2014,2,0,0
173,229950.0,2,1.0,920,7716,1.0,0,0,7,920,0.0,1944,0.0,66,47.5028,-122.243,1410,7128,113555.0,78,2014,2,0,0
174,229950.0,2,1.0,850,6000,1.0,0,0,7,850,0.0,1924,0.0,66,47.4972,-122.22399999999999,1100,6000,113555.0,98,2015,1,0,0
175,452100.0,4,2.5,3160,6540,1.0,0,0,9,1580,1580.0,1959,0.0,66,47.5037,-122.24,1990,7090,113555.0,63,2015,1,0,1
176,223000.0,3,2.0,1310,8440,1.0,0,4,7,1310,0.0,1951,0.0,66,47.5003,-122.26899999999999,1790,10775,113555.0,71,2014,2,0,0
177,361000.0,3,1.75,2130,8742,1.0,0,0,8,1330,800.0,1955,0.0,66,47.5057,-122.23100000000001,2380,7448,113555.0,67,2014,2,0,1
